Designator,Footprint,Quantity,Value,LCSC Part #
"C32_20, C32_19, C32_18, C32_17, C32_16, C32_15, C32_14, C32_13, C32_12, C32_11, C32_10, C32_9, C32_8, C32_7, C32_6, C32_5, C32_4, C32_3, C32_2, C32, C33_20, C33_19, C33_18, C33_17, C33_16, C33_15, C33_14, C33_13, C33_12, C33_11, C33_10, C33_9, C33_8, C33_7, C33_6, C33_5, C33_4, C33_3, C33_2, C33, C37_20, C37_19, C37_18, C37_17, C37_16, C37_15, C37_14, C37_13, C37_12, C37_11, C37_10, C37_9, C37_8, C37_7, C37_6, C37_5, C37_4, C37_3, C37_2, C37, C38_20, C38_19, C38_18, C38_17, C38_16, C38_15, C38_14, C38_13, C38_12, C38_11, C38_10, C38_9, C38_8, C38_7, C38_6, C38_5, C38_4, C38_3, C38_2, C38",0402,80,10pF,C32949
"C35_20, C35_19, C35_18, C35_17, C35_16, C35_15, C35_14, C35_13, C35_12, C35_11, C35_10, C35_9, C35_8, C35_7, C35_6, C35_5, C35_4, C35_3, C35_2, C35, C36_20, C36_19, C36_18, C36_17, C36_16, C36_15, C36_14, C36_13, C36_12, C36_11, C36_10, C36_9, C36_8, C36_7, C36_6, C36_5, C36_4, C36_3, C36_2, C36",0603,40,"22uF, 6V3",C59461
"D1_20, D1_19, D1_18, D1_17, D1_16, D1_15, D1_14, D1_13, D1_12, D1_11, D1_10, D1_9, D1_8, D1_7, D1_6, D1_5, D1_4, D1_3, D1_2, D1",D_SOD-323,20,Z5V6,C22612
"D2_20, D2_19, D2_18, D2_17, D2_16, D2_15, D2_14, D2_13, D2_12, D2_11, D2_10, D2_9, D2_8, D2_7, D2_6, D2_5, D2_4, D2_3, D2_2, D2",D_SOD-323,20,1N5819,C191023
"D3_20, D3_19, D3_18, D3_17, D3_16, D3_15, D3_14, D3_13, D3_12, D3_11, D3_10, D3_9, D3_8, D3_7, D3_6, D3_5, D3_4, D3_3, D3_2, D3",D_SOD-323,20,Z3V3,C75073
"D5_20, D5_19, D5_18, D5_17, D5_16, D5_15, D5_14, D5_13, D5_12, D5_11, D5_10, D5_9, D5_8, D5_7, D5_6, D5_5, D5_4, D5_3, D5_2, D5",LED_3mm,20,LED_blue,C2895474
"D6_20, D6_19, D6_18, D6_17, D6_16, D6_15, D6_14, D6_13, D6_12, D6_11, D6_10, D6_9, D6_8, D6_7, D6_6, D6_5, D6_4, D6_3, D6_2, D6",LED_3mm,20,LED_green,C2895476
"J1_20, J1_19, J1_18, J1_17, J1_16, J1_15, J1_14, J1_13, J1_12, J1_11, J1_10, J1_9, J1_8, J1_7, J1_6, J1_5, J1_4, J1_3, J1_2, J1, J10_20, J10_19, J10_18, J10_17, J10_16, J10_15, J10_14, J10_13, J10_12, J10_11, J10_10, J10_9, J10_8, J10_7, J10_6, J10_5, J10_4, J10_3, J10_2, J10, J13_20, J13_19, J13_18, J13_17, J13_16, J13_15, J13_14, J13_13, J13_12, J13_11, J13_10, J13_9, J13_8, J13_7, J13_6, J13_5, J13_4, J13_3, J13_2, J13, J17_20, J17_19, J17_18, J17_17, J17_16, J17_15, J17_14, J17_13, J17_12, J17_11, J17_10, J17_9, J17_8, J17_7, J17_6, J17_5, J17_4, J17_3, J17_2, J17, J4_20, J4_19, J4_18, J4_17, J4_16, J4_15, J4_14, J4_13, J4_12, J4_11, J4_10, J4_9, J4_8, J4_7, J4_6, J4_5, J4_4, J4_3, J4_2, J4, J7_20, J7_19, J7_18, J7_17, J7_16, J7_15, J7_14, J7_13, J7_12, J7_11, J7_10, J7_9, J7_8, J7_7, J7_6, J7_5, J7_4, J7_3, J7_2, J7",JST_SH_1x06_Vertical,120,JST SR/SZ,C160392
"J11_20, J11_19, J11_18, J11_17, J11_16, J11_15, J11_14, J11_13, J11_12, J11_11, J11_10, J11_9, J11_8, J11_7, J11_6, J11_5, J11_4, J11_3, J11_2, J11, J12_20, J12_19, J12_18, J12_17, J12_16, J12_15, J12_14, J12_13, J12_12, J12_11, J12_10, J12_9, J12_8, J12_7, J12_6, J12_5, J12_4, J12_3, J12_2, J12, J2_20, J2_19, J2_18, J2_17, J2_16, J2_15, J2_14, J2_13, J2_12, J2_11, J2_10, J2_9, J2_8, J2_7, J2_6, J2_5, J2_4, J2_3, J2_2, J2, J3_20, J3_19, J3_18, J3_17, J3_16, J3_15, J3_14, J3_13, J3_12, J3_11, J3_10, J3_9, J3_8, J3_7, J3_6, J3_5, J3_4, J3_3, J3_2, J3, J5_20, J5_19, J5_18, J5_17, J5_16, J5_15, J5_14, J5_13, J5_12, J5_11, J5_10, J5_9, J5_8, J5_7, J5_6, J5_5, J5_4, J5_3, J5_2, J5, J6_20, J6_19, J6_18, J6_17, J6_16, J6_15, J6_14, J6_13, J6_12, J6_11, J6_10, J6_9, J6_8, J6_7, J6_6, J6_5, J6_4, J6_3, J6_2, J6, J8_20, J8_19, J8_18, J8_17, J8_16, J8_15, J8_14, J8_13, J8_12, J8_11, J8_10, J8_9, J8_8, J8_7, J8_6, J8_5, J8_4, J8_3, J8_2, J8, J9_20, J9_19, J9_18, J9_17, J9_16, J9_15, J9_14, J9_13, J9_12, J9_11, J9_10, J9_9, J9_8, J9_7, J9_6, J9_5, J9_4, J9_3, J9_2, J9",TerminalBlock_Ningbo_2P_5mm,160,Screw_Terminal_01x02,C8404 
"J14_20, J14_19, J14_18, J14_17, J14_16, J14_15, J14_14, J14_13, J14_12, J14_11, J14_10, J14_9, J14_8, J14_7, J14_6, J14_5, J14_4, J14_3, J14_2, J14",1206,20,RFANT3216120A5T,C127629
