Designator,Mid X,Mid Y,Rotation,Layer
U7,83.051999,-44.54,90.0,top
U8_8,96.701999,-4.3,90.0,top
U8_7,48.701999,-4.3,90.0,top
U8_6,192.701999,-4.3,90.0,top
U8_5,48.701999,-62.3,90.0,top
U8_4,144.701999,-62.3,90.0,top
U8_3,144.701999,-4.3,90.0,top
U8_2,192.701999,-62.3,90.0,top
U8,96.701999,-62.3,90.0,top
U9_8,128.801999,-9.9,0.0,top
U9_7,80.801999,-67.9,0.0,top
U9_6,176.801999,-67.9,0.0,top
U9_5,32.801999,-9.9,0.0,top
U9_4,80.801999,-9.9,0.0,top
U9_3,128.801999,-67.9,0.0,top
U9_2,176.801999,-9.9,0.0,top
U9,32.801999,-67.9,0.0,top
