Designator,Footprint,Quantity,Value,LCSC Part #
"J11_10, J11_9, J11_8, J11_7, J11_6, J11_5, J11_4, J11_3, J11_2, J11, J12_10, J12_9, J12_8, J12_7, J12_6, J12_5, J12_4, J12_3, J12_2, J12, J2_10, J2_9, J2_8, J2_7, J2_6, J2_5, J2_4, J2_3, J2_2, J2, J3_10, J3_9, J3_8, J3_7, J3_6, J3_5, J3_4, J3_3, J3_2, J3, J5_10, J5_9, J5_8, J5_7, J5_6, J5_5, J5_4, J5_3, J5_2, J5, J6_10, J6_9, J6_8, J6_7, J6_6, J6_5, J6_4, J6_3, J6_2, J6, J8_10, J8_9, J8_8, J8_7, J8_6, J8_5, J8_4, J8_3, J8_2, J8, J9_10, J9_9, J9_8, J9_7, J9_6, J9_5, J9_4, J9_3, J9_2, J9",TerminalBlock_Ningbo_2P_5mm,80,Screw_Terminal_01x02,C557646
"J14_10, J14_9, J14_8, J14_7, J14_6, J14_5, J14_4, J14_3, J14_2, J14",1206,10,RFANT3216120A5T,C127629
"J15_10, J15_9, J15_8, J15_7, J15_6, J15_5, J15_4, J15_3, J15_2, J15",DC-005C_1,10,Barrel_Jack,C84007
"J16_10, J16_9, J16_8, J16_7, J16_6, J16_5, J16_4, J16_3, J16_2, J16",PinSocket_1x01_P2.54mm_Vertical,10,VIN,
"J18_10, J18_9, J18_8, J18_7, J18_6, J18_5, J18_4, J18_3, J18_2, J18",PinSocket_1x01_P2.54mm_Vertical,10,GND,
"L1_10, L1_9, L1_8, L1_7, L1_6, L1_5, L1_4, L1_3, L1_2, L1, L2_10, L2_9, L2_8, L2_7, L2_6, L2_5, L2_4, L2_3, L2_2, L2",LVF252A12,20,4.7uH,C98354
"Q1_10, Q1_9, Q1_8, Q1_7, Q1_6, Q1_5, Q1_4, Q1_3, Q1_2, Q1",SOT-23-small,10,AO3401A,C15127
"R10_10, R10_9, R10_8, R10_7, R10_6, R10_5, R10_4, R10_3, R10_2, R10, R19_10, R19_9, R19_8, R19_7, R19_6, R19_5, R19_4, R19_3, R19_2, R19, R20_10, R20_9, R20_8, R20_7, R20_6, R20_5, R20_4, R20_3, R20_2, R20, R21_10, R21_9, R21_8, R21_7, R21_6, R21_5, R21_4, R21_3, R21_2, R21, R22_10, R22_9, R22_8, R22_7, R22_6, R22_5, R22_4, R22_3, R22_2, R22, R23_10, R23_9, R23_8, R23_7, R23_6, R23_5, R23_4, R23_3, R23_2, R23, R24_10, R24_9, R24_8, R24_7, R24_6, R24_5, R24_4, R24_3, R24_2, R24, R25_10, R25_9, R25_8, R25_7, R25_6, R25_5, R25_4, R25_3, R25_2, R25, R28_10, R28_9, R28_8, R28_7, R28_6, R28_5, R28_4, R28_3, R28_2, R28",0402,90,10K,C25744
"R11_10, R11_9, R11_8, R11_7, R11_6, R11_5, R11_4, R11_3, R11_2, R11",0402,10,68K,C36871
"R12_10, R12_9, R12_8, R12_7, R12_6, R12_5, R12_4, R12_3, R12_2, R12, R26_10, R26_9, R26_8, R26_7, R26_6, R26_5, R26_4, R26_3, R26_2, R26",0402,20,15K,C25756
"R13_10, R13_9, R13_8, R13_7, R13_6, R13_5, R13_4, R13_3, R13_2, R13",0402,10,33K,C25779
"R14_10, R14_9, R14_8, R14_7, R14_6, R14_5, R14_4, R14_3, R14_2, R14",0402,10,4K7,C25900
"R15_10, R15_9, R15_8, R15_7, R15_6, R15_5, R15_4, R15_3, R15_2, R15, R16_10, R16_9, R16_8, R16_7, R16_6, R16_5, R16_4, R16_3, R16_2, R16",0402,20,5.1K,C25905
"R17_10, R17_9, R17_8, R17_7, R17_6, R17_5, R17_4, R17_3, R17_2, R17, R18_10, R18_9, R18_8, R18_7, R18_6, R18_5, R18_4, R18_3, R18_2, R18, R30_10, R30_9, R30_8, R30_7, R30_6, R30_5, R30_4, R30_3, R30_2, R30, R5_10, R5_9, R5_8, R5_7, R5_6, R5_5, R5_4, R5_3, R5_2, R5",0402,40,1K,C11702
"R27_10, R27_9, R27_8, R27_7, R27_6, R27_5, R27_4, R27_3, R27_2, R27",0402,10,2K2,C25879
"R29_10, R29_9, R29_8, R29_7, R29_6, R29_5, R29_4, R29_3, R29_2, R29",0402,10,3K,
